Time,NO3 Effluent
2018-06-21T00:59:00.000Z,3.5233
2018-06-21T01:59:00.000Z,3.5721300000000005
2018-06-21T02:59:00.000Z,3.830525
2018-06-21T03:59:00.000Z,4.08865
2018-06-21T04:59:00.000Z,4.14799
2018-06-21T05:59:00.000Z,4.15683
2018-06-21T06:59:00.000Z,3.99592
2018-06-21T07:59:00.000Z,3.44212
2018-06-21T08:59:00.000Z,2.783475
2018-06-21T09:59:00.000Z,2.068625
2018-06-21T10:59:00.000Z,1.59142
2018-06-21T11:59:00.000Z,1.958757
2018-06-21T12:59:00.000Z,2.40039
2018-06-21T13:59:00.000Z,2.068675
2018-06-21T14:59:00.000Z,1.979215
2018-06-21T15:59:00.000Z,1.85701
2018-06-21T16:59:00.000Z,1.765935
2018-06-21T17:59:00.000Z,1.7952750000000002
2018-06-21T18:59:00.000Z,2.033915
2018-06-21T19:59:00.000Z,2.447685
2018-06-21T20:59:00.000Z,2.6477
2018-06-21T21:59:00.000Z,2.127045
2018-06-21T22:59:00.000Z,2.269377
2018-06-21T23:59:00.000Z,3.214
2018-06-22T00:59:00.000Z,2.9163200000000002
2018-06-22T01:59:00.000Z,2.562775
2018-06-22T02:59:00.000Z,2.8622000000000005
2018-06-22T03:59:00.000Z,3.062145
2018-06-22T04:59:00.000Z,2.99033
2018-06-22T05:59:00.000Z,2.8699950000000003
2018-06-22T06:59:00.000Z,2.549425
2018-06-22T07:59:00.000Z,2.395075
2018-06-22T08:59:00.000Z,2.345225
2018-06-22T09:59:00.000Z,1.995265
2018-06-22T10:59:00.000Z,1.78722
2018-06-22T11:59:00.000Z,1.7925
2018-06-22T12:59:00.000Z,1.81723
2018-06-22T13:59:00.000Z,1.97985
2018-06-22T14:59:00.000Z,2.17251
2018-06-22T15:59:00.000Z,2.230515
2018-06-22T16:59:00.000Z,2.306435
2018-06-22T17:59:00.000Z,2.53515
2018-06-22T18:59:00.000Z,2.75935
2018-06-22T19:59:00.000Z,2.895085
2018-06-22T20:59:00.000Z,2.94606
2018-06-22T21:59:00.000Z,3.019775
2018-06-22T22:59:00.000Z,3.136295
2018-06-22T23:59:00.000Z,3.132395
2018-06-23T00:59:00.000Z,3.136875
2018-06-23T01:59:00.000Z,3.140735
2018-06-23T02:59:00.000Z,3.07175
2018-06-23T03:59:00.000Z,2.8773650000000006
2018-06-23T04:59:00.000Z,2.840045
2018-06-23T05:59:00.000Z,2.899905
2018-06-23T06:59:00.000Z,2.846355
2018-06-23T07:59:00.000Z,2.88193
2018-06-23T08:59:00.000Z,2.8793350000000006
2018-06-23T09:59:00.000Z,2.912695
2018-06-23T10:59:00.000Z,2.972715
2018-06-23T11:59:00.000Z,2.78123
2018-06-23T12:59:00.000Z,2.63936
2018-06-23T13:59:00.000Z,2.78045
2018-06-23T14:59:00.000Z,2.8117
2018-06-23T15:59:00.000Z,2.725615
2018-06-23T16:59:00.000Z,2.688985
2018-06-23T17:59:00.000Z,2.7612149999999995
2018-06-23T18:59:00.000Z,2.924775
2018-06-23T19:59:00.000Z,3.07034
2018-06-23T20:59:00.000Z,3.1386400000000005
2018-06-23T21:59:00.000Z,3.180945
2018-06-23T22:59:00.000Z,3.20581
2018-06-23T23:59:00.000Z,3.1097500000000005
2018-06-24T00:59:00.000Z,3.012315
2018-06-24T01:59:00.000Z,3.01446
2018-06-24T02:59:00.000Z,3.1058600000000003
2018-06-24T03:59:00.000Z,3.153565
2018-06-24T04:59:00.000Z,3.09494
2018-06-24T05:59:00.000Z,3.06747
2018-06-24T06:59:00.000Z,3.033995
2018-06-24T07:59:00.000Z,2.98224
2018-06-24T08:59:00.000Z,2.9359300000000004
2018-06-24T09:59:00.000Z,2.930995
2018-06-24T10:59:00.000Z,3.01221
2018-06-24T11:59:00.000Z,3.121095
2018-06-24T12:59:00.000Z,3.1860400000000006
2018-06-24T13:59:00.000Z,3.208785
2018-06-24T14:59:00.000Z,3.21975
2018-06-24T15:59:00.000Z,3.133865
2018-06-24T16:59:00.000Z,3.021815
2018-06-24T17:59:00.000Z,2.963525
2018-06-24T18:59:00.000Z,2.959645
2018-06-24T19:59:00.000Z,2.96048
2018-06-24T20:59:00.000Z,2.9121700000000006
2018-06-24T21:59:00.000Z,2.95804
2018-06-24T22:59:00.000Z,3.0224350000000006
2018-06-24T23:59:00.000Z,3.00902
2018-06-25T00:59:00.000Z,2.96061
2018-06-25T01:59:00.000Z,2.928465
